CODIGO,MUNICIPIO,OBS_REGISTROS,AÑOS_PRESENTES,NOTA_PANEL,PROM_AUTONOMIA_FISCAL,PROM_DEPENDENCIA_FCM,PROM_TRANSFERENCIAS_SOBRE_INGRESOS,PROM_IMPUESTOS_SOBRE_INGRESOS,PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,PROM_DISPONIBILIDAD_PRESUP_X_HAB,PROM_IPPP,GRUPO_FIGEM_MODAL_2016_2024,CAMBIOS_GRUPO_FIGEM_2016_2024,GRUPO_FIGEM_2024,MONTO_FIGEM_PROM_2016_2024,MONTO_FIGEM_2024,NOTA_MATCH_FIGEM,LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,LOG_PROM_IPPP,CLUSTER_FINAL,Z_PROM_DEPENDENCIA_FCM,Z_PROM_TRANSFERENCIAS_SOBRE_INGRESOS,Z_PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,Z_PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,Z_LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,Z_LOG_PROM_IPPP,DISTANCIA_CENTROIDE,NOMBRE_CLUSTER
1101,IQUIQUE,9,9,OK,0.4847199166051424,0.05910007815893264,0.3944661424679101,0.3124859170197106,0.8429389650526021,0.236866141130717,343.1733333333333,164.9244444444444,2,0,2,15938726.125,0,,5.841145406439521,5.111532530793413,4,-2.141514049563299,1.793504101303688,0.8733175729406505,-0.21574339027569722,-0.23367964024229002,0.7553825618444848,2.1036487425418597,Alta transferencia y orientación a servicios comunitarios
1107,ALTO HOSPICIO,9,9,OK,0.2491557784075152,0.5168427649689249,0.1210433839439826,0.1355260736184913,0.7712443516473704,0.3286731112504307,149.2333333333333,36.54888888888889,2,0,2,83715645.33333333,130257366,,5.012189641028493,3.6256437875962844,1,0.25703613294046723,-0.4542733547181377,-0.07551585962389579,0.49037048530473987,-1.382365173216643,-1.1087698093885878,1.2820678222922512,Dependencia fiscal intermedia y operación corriente alta
1401,POZO ALMONTE,9,9,OK,0.4165832301816814,0.2299090071561846,0.4054034844554227,0.2081140382924757,0.7888981409227415,0.4020349082829717,693.0844444444444,272.5111111111111,4,0,4,32197956.5,86127848,,6.542593630978492,5.6113422466716125,4,-1.2464832830975656,1.8834187480618885,0.15812101601199674,1.0546172168398824,0.7383184581833144,1.3824291501475396,1.5554642502805012,Alta transferencia y orientación a servicios comunitarios
1402,CAMIÑA,9,9,OK,0.04511223180118266,0.7347222246789262,0.2498966520362802,0.003459299109759111,0.7311262548471157,0.1383518909017164,1949.615555555556,85.99666666666667,5,0,5,30008681.66666667,0,,7.575900271260323,4.465869803744332,3,1.3987142698282629,0.6050147335016908,-0.6064538155870512,-0.9734448909176782,2.170173375350747,-0.05464693003765174,1.4591610370933956,Alta disponibilidad por habitante y baja escala relativa
1403,COLCHANE,9,9,OK,0.1050248542332144,0.5179872530182001,0.3283365208909583,0.03135164881604366,0.6542711282275071,0.02248180814104789,1849.084444444445,204.3622222222222,5,0,5,43116589.58146933,92584345,,7.5229865626762855,5.324775357609822,3,0.26303319657155044,1.2498599900439493,-1.623583417618557,-1.8646351033304607,2.0968507517770183,1.0229107486473064,2.3390222537422325,Alta disponibilidad por habitante y baja escala relativa
1404,HUARA,9,9,OK,0.2896465553627607,0.4261685668325145,0.4473897286103929,0.03252771629434686,0.7325819675742413,0.2516815238041451,1455.505555555555,416.6011111111111,5,0,5,57457276.88888889,0,,7.283795390711168,6.0345266972715725,3,-0.2180924070786724,2.2285828945435404,-0.5871883667882756,-0.10179401078849407,1.7654031036443378,1.9133439313965566,2.649168631737304,Alta disponibilidad por habitante y baja escala relativa
1405,PICA,9,9,OK,0.5480312633593792,0.2342039277275013,0.3061292030109919,0.2558432370630125,0.8630341703348701,0.1415765067084138,1128.037777777778,622.0933333333334,4,0,4,78194099.79322468,0,,7.029121024863343,6.434696320300729,3,-1.2239781010006925,1.0672961509590961,1.1392650646760911,-0.9486434410761687,1.4125003651927142,2.415384986004829,2.822375279972363,Alta disponibilidad por habitante y baja escala relativa
2101,ANTOFAGASTA,9,9,OK,0.4483381248295941,0.09289372599772858,0.4108287956221262,0.3041038047728961,0.4766302651649456,0.5082150298639571,273.2477777777778,121.0022222222222,1,0,1,22285154.88888889,0,,5.614031996215593,4.8040392595036145,4,-1.9644369218955928,1.9280196152254478,-3.974549297170661,1.8712791441574483,-0.5483911116551706,0.3696105358853071,4.021618646185043,Alta transferencia y orientación a servicios comunitarios
2102,MEJILLONES,8,8,REVISAR FALTANTES,0.6673171077095551,0.1945326637239569,0.135760571410092,0.4936826920837171,0.8562053158160841,0.2542918853706966,647.6375,430.49375,4,0,4,79210650.46919894,92417833,,6.474874009038151,6.067253026061689,2,-1.4318536613487587,-0.3332850274078755,1.0488894399841695,-0.08171696740038978,0.6444792531651902,1.9544014222047732,2.5275385728130497,Mayor holgura fiscal y capacidad propia
2103,SIERRA GORDA,9,9,OK,0.6938192691745831,0.1892924145261548,0.2798115988919991,0.3602260552836832,0.7718149133124533,0.2697319147991131,4447.776666666668,3135.375555555556,4,0,4,0.0,0,,8.400384430999562,8.050823130535921,2,-1.4593123210541639,0.8509421153457718,-0.0679648323227164,0.03703675036808424,3.312662596098712,4.442930210575917,4.348790865620269,Mayor holgura fiscal y capacidad propia
